ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor(s),Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,CombinedWith,Description
10284,AAS,1010,100,Lecture,"4","Edwin Otu","TuTh 12:30PM - 1:45PM","Wilson Hall 301","Introduction to African-American and African Studies I","",Closed,120,120,0,,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10287,AAS,1010,101,Discussion,"0","Tracie Canada","Tu 6:00PM - 6:50PM","New Cabell Hall 209","Introduction to African-American and African Studies I","",Open,19,20,0,,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10288,AAS,1010,102,Discussion,"0","Kayla Kauffman","We 5:00PM - 5:50PM","New Cabell Hall 407","Introduction to African-American and African Studies I","",Closed,21,20,0,,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10285,AAS,1010,103,Discussion,"0","Tracie Canada","Tu 7:00PM - 7:50PM","New Cabell Hall 056","Introduction to African-American and African Studies I","",Closed,20,20,0,,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10286,AAS,1010,104,Discussion,"0","Tracie Canada","Tu 8:00PM - 8:50PM","New Cabell Hall 056","Introduction to African-American and African Studies I","",Closed,20,20,0,,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10289,AAS,1010,105,Discussion,"0","Kayla Kauffman","We 6:00PM - 6:50PM","New Cabell Hall 107","Introduction to African-American and African Studies I","",Closed,20,20,0,,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10290,AAS,1010,106,Discussion,"0","Kayla Kauffman","We 7:00PM - 7:50PM","New Cabell Hall 107","Introduction to African-American and African Studies I","",Closed,20,20,0,,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
19360,AAS,1559,001,Seminar,"3","Njelle Hamilton","TuTh 3:30PM - 4:45PM","Gilmer Hall 141","New Course in African and African American Studies","Routes, Writing, Reggae",Open,31,36,0,ENGL 1500-003  LEC (19602),"New course in the subject of African American Studies."
19361,AAS,2224,001,Seminar,"3","Lisa Shutt","We 2:00PM - 4:30PM","New Cabell Hall 191","Black Femininities and Masculinities in the US Media","",Closed,17,17,0,WGS 2224-001  SEM (20102),"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender."
19362,AAS,2559,001,Seminar,"3","Maurice Wallace","TuTh 2:00PM - 3:15PM","Physics Bldg 204","New Course in African and African American Studies","The Films of Spike Lee",Closed,76,75,0,,"New course in the subject of African and African American Studies"
