Name,Introduction,Type
Soccer,Ball game,Sport
Basketball,Ball game,Sport
Volleyball,Ball game,Sport
Tennis,Ball game,Sport
Badminton,Ball game,Sport
Pingpong,Ball game,Sport
Baseball,Ball game,Sport
Football,Ball game,Sport
Workout,Life,Sport
Climbing,Life,Sport
Swimming,None,Sport
Skiing,None,Sport
Pool,Ball game,Sport
Drawing,Arts,Life
Photographing,Arts,Life
Reading,Lifestyle,Life
Dancing,Arts,Life
Singing,Arts,Life
Drama,Arts,Life
Eating,Lifestyle,Life
Cooking,Lifestyle,Life
Hopping,Lifestyle,Life
Art,None,Life
Shopping,Lifestyle,Life
Pet keeping,Lifestyle,Life
Movies,Video,Entertainment
TV series,Video,Entertainment
Anime,Video,Entertainment
Reality show,Video,Entertainment
Pop,Music,Entertainment
Jazz,Music,Entertainment
Rock,Music,Entertainment
Hip hop,Music,Entertainment
Traditional,Music,Entertainment
Folk song,Music,Entertainment
Rap,Music,Entertainment
K-Pop,Music,Entertainment
FPS,None,Game
Mobile game,None,Game
Board game,None,Game
Social,None,Game
Steam,None,Game
Dota,None,Game
LOL,None,Game
Pubg,None,Game
CsGo,None,Game
R6,None,Game
FortNight,None,Game
